Idea_ID,Idea_Title,Idea_Topic,Element_ID,Element_Name,Category,Prompts_Total,Prompts_Image,Prompts_Video,Max_Level,Levels_Filled,Has_Level10_Video,Prompt_Step,Aspect_Ratio,Duration_Sec,Level10_Video_Preview,SEO_Status,SEO_Source,SEO_Title,SEO_Tags,SEO_Tag_Count,SEO_Description_Len,SEO_Pinned_Comment,SEO_Demand,SEO_Novelty,SEO_Saturation,SEO_Opportunity,SEO_Verdict,SEO_Top_Keywords,Video_Generated,Video_File_Path,Task_Status,Task_Attempts,Task_Last_Error,Package_Folder,Upload_Ready,Pipeline_Stage,Idea_Status
1,Rice Titan Harvester,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Rice Titan Harvester — The Paddy Harvesting Machine You've Never Seen,"Rice Titan Harvester, rice paddy machine, giant harvester, colossal harvester, agriculture tech, mega farming, Paddy Harvesting machine, impossible engineering...",10,470,Would this Rice Titan Harvester actually work in real life? Tell us in the comments! 👇,12.88,100.0,0.0,69.51,promising,"rice paddy harvesting machine, rice paddy harvesting machine, paddy harvesting in china, paddy harvesting in japan, rice harvesting and processing",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\video\1Video10Sec\Generated_Rice_Titan_Harvester_10Sec.mp4,waiting_for_video,6,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.1.Level_10_Rice_Titan_Harvester,✅ Yes,6️⃣ Upload Ready ✅,ready_for_upload
2,The Paddy Ocean Vacuum,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Paddy Harvesting Machine: The Floating Ocean Vacuum,"paddy harvesting machine, paddy harvesting, paddy crop harvesting, harvesting paddy fields, paddy harvesting videos, paddy harvesting tractor, paddy harvesting drone, paddy harvesting time...",13,669,Would you trust this floating paddy harvesting machine in a real rice field? 🌾👇,73.0,100.0,0.0,90.55,publish,"paddy harvesting in china, paddy harvesting in japan, paddy harvesting by hand, paddy harvesting in china, paddy harvesting in japan",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\video\1Video10Sec\Generated_The_Paddy_Ocean_Vacuum_10Sec.mp4,success,5,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.2.Level_10_The_Paddy_Ocean_Vacuum,✅ Yes,6️⃣ Upload Ready ✅,ready_for_upload
3,Rice-Field Spider Colossus,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Rice-Field Spider Colossus — Impossible Paddy Harvesting,"Rice-Field Spider Colossus, paddy field harvesting machine, rice paddy harvesting machine, paddy harvesting in china, paddy harvesting in japan, rice harvesting and processing, harvesting rice at home, paddy harvesting by hand...",15,573,Would this Rice-Field Spider Colossus actually work in real life? Tell us in the comments! 👇,68.57,100.0,0.0,89.0,publish,"paddy field harvesting machine, rice paddy harvesting machine, paddy harvesting in china, paddy harvesting in japan, rice harvesting and processing",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.3.Level_10_Rice-Field_Spider_Colossus\1.3.Level_10_Rice-Field_Spider_Colossus.mp4,success,3,,,❌ No,5️⃣ Needs Packaging,new
4,The Monsoon Harvesting Ark,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Paddy Harvesting Machine: The Future Monsoon Harvesting Ark,"paddy harvesting machine, paddy harvesting video, paddy harvesting in water, paddy crop harvesting, future farming technology, futuristic agriculture, agricultural machines, rice harvesting machine...",14,779,Would you trust this futuristic paddy harvesting ark on flooded fields? 🌾👇,73.45,0.0,0.0,0.0,insufficient_data,"paddy harvesting video, paddy harvesting in water, paddy harvesting by hand, paddy harvesting in china, paddy harvesting machine",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.4.Level_10_The_Monsoon_Harvesting_Ark\1.4.Level_10_The_Monsoon_Harvesting_Ark.mp4,success,3,,,❌ No,5️⃣ Needs Packaging,new
5,Paddy Ring Megaharvester,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Paddy Harvesting Reimagined: The Giant Ring Megaharvester,"paddy harvesting video, paddy crop harvesting, paddy harvesting machine, future farming technology, giant harvesting machine, robotic agriculture, futuristic farming, paddy harvesting tractor...",15,629,Would you trust a machine this huge to harvest an entire rice region? 🌾👇,73.45,0.0,0.0,0.0,insufficient_data,"paddy harvesting video, paddy harvesting in water, paddy harvesting by hand, paddy harvesting in china, paddy ring walk",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.5.Level_10_Paddy_Ring_Megaharvester\1.5.Level_10_Paddy_Ring_Megaharvester.mp4,success,3,,,❌ No,5️⃣ Needs Packaging,new
6,Sky Reaper Rice Fortress,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Sky Reaper Rice Fortress: The Future of Rice Harvesting Machines,"rice paddy harvesting machine, paddy harvesting machine, paddy harvesting video, rice harvesting machine, rice harvesting and processing, future farming technology, futuristic agriculture, giant harvesting machine...",13,676,Would you trust this flying rice harvesting fortress to farm the future? 🌾👇,69.14,0.0,0.0,0.0,insufficient_data,"rice paddy harvesting machine, sky fortress ro, sky fortress 2, paddy harvesting video, paddy harvesting in water",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.6.Level_10_Sky_Reaper_Rice_Fortress\1.6.Level_10_Sky_Reaper_Rice_Fortress.mp4,pending_video,1,,,❌ No,5️⃣ Needs Packaging,new
7,The Rice Comb Superstructure,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Rice Paddy Harvesting Machine: The Giant Rice Comb Engine,"rice paddy harvesting machine, paddy harvesting machine, paddy harvesting video, rice harvesting machine, rice harvesting and processing, paddy harvesting in water, future farming machine, futuristic agriculture...",15,640,Would a machine this massive change farming forever? 🌾 What would you call it? 👇,70.62,0.0,0.0,0.0,insufficient_data,"rice paddy harvesting machine, paddy harvesting video, paddy harvesting in water, rice harvesting and processing, harvesting rice at home",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.7.Level_10_The_Rice_Comb_Superstructure\1.7.Level_10_The_Rice_Comb_Superstructure.mp4,success,3,,,❌ No,5️⃣ Needs Packaging,new
8,Paddy-Gulping Harvest Worm,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Paddy Harvesting Machine: The Colossal Harvest Worm of the Future,"paddy harvesting video, paddy harvesting machine, paddy harvesting machines in agriculture, paddy cutting and harvesting machine, future farming technology, futuristic agriculture, rice harvesting machine, agriculture technology...",14,706,Would you trust this giant paddy harvesting machine on your fields? 🌾👇,69.01,0.0,0.0,0.0,insufficient_data,"paddy harvesting video, how to harvest worm castings from worm farm, paddy harvesting in water, paddy harvesting by hand, paddy harvesting in china",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.8.Level_10_Paddy-Gulping_Harvest_Worm\1.8.Level_10_Paddy-Gulping_Harvest_Worm.mp4,success,2,,,❌ No,5️⃣ Needs Packaging,new
9,Rice Moon Harvester,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Rice Paddy Harvesting Machine: The Giant Moon Harvester of the Future,"rice paddy harvesting machine, paddy harvesting machine, paddy harvesting video, rice harvesting machine, rice harvesting technology, future farming technology, futuristic agriculture, giant harvesting machine...",15,709,Would you trust this giant rice harvester to farm the future? 🌾👇,71.05,0.0,0.0,0.0,insufficient_data,"rice paddy harvesting machine, paddy harvesting video, paddy harvester in tractor, paddy harvesting in water, rice harvesting and processing",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.9.Level_10_Rice_Moon_Harvester\1.9.Level_10_Rice_Moon_Harvester.mp4,success,2,,,❌ No,5️⃣ Needs Packaging,new
10,The Infinite Rice Factory,Paddy Harvesting,1,Paddy / Rice Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Rice Paddy Harvesting Machine: The Infinite Rice Factory,"rice paddy harvesting machine, paddy harvesting video, rice harvesting machine, paddy harvesting, rice harvesting and processing, paddy harvesting machines in agriculture, future farming technology, autonomous harvesting machine...",14,590,Would you trust this infinite rice factory to harvest the world's fields? 🌾👇,70.62,0.0,0.0,0.0,insufficient_data,"rice paddy harvesting machine, paddy harvesting video, paddy harvesting in water, rice harvesting and processing, harvesting rice at home",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.10.Level_10_The_Infinite_Rice_Factory\1.10.Level_10_The_Infinite_Rice_Factory.mp4,success,2,[Errno 22] Invalid argument,,❌ No,5️⃣ Needs Packaging,new
