id,uuid,channel_id,idea_id,shot_number,time_start_sec,time_end_sec,image_prompt,video_prompt,aspect_ratio,duration_seconds,status,created_at
1,a7c857be-635d-439b-990a-8f8d08fce430,2,1,1,0,6,"Subject: an alien-level Rice Titan Harvester larger than a planet, living-mechanical agricultural intelligence; Environment: deep cosmic space with distant galaxies and a small blue-green planet beneath it; Architecture: colossal biomechanical shell, continents of machinery, enormous segmented harvesting limbs; Energy/Physics: gravitational waves, blue plasma veins, orbital debris bending toward the titan; Cinematic Presentation: ultra-wide 16:9 establishing shot, monumental scale, photorealistic sci-fi, cinematic volumetric lighting, extreme detail.",8-Second 16:9 Video Prompt: Camera begins far beyond the titan and slowly pushes forward through stars toward its immense silhouette. 0:01 distant galaxies drift behind the colossal body; 0:02 the titan rotates imperceptibly; 0:03 planetary-scale armor plates illuminate; 0:04 gravitational distortion ripples across space; 0:05 harvesting limbs unfold; 0:06 the full cosmic-scale Rice Titan dominates the frame.,16:9,8.0,ready,2026-08-14 18:44:24.846961
2,51ae9e54-aa6c-4a1f-90c4-f8d524ba04b3,2,1,2,6,12,"Subject: Rice Titan towering over a complete Earth-sized planet; Environment: starfield, nebulae, orbital clouds and satellites; Architecture: ring-like agricultural machinery encircling the titan; Energy/Physics: immense gravity field warping starlight; Cinematic Presentation: dramatic side profile, high contrast, deep-space scale comparison, 16:9 cinematic composition.",8-Second 16:9 Video Prompt: Camera tracks sideways along the titan's curved hull while the planet passes beneath it. 0:01 planetary horizon appears; 0:02 the titan eclipses half the planet; 0:03 colossal rings rotate; 0:04 atmospheric clouds spiral under gravitational influence; 0:05 distant stars bend around the structure; 0:06 camera reveals the impossible scale.,16:9,8.0,ready,2026-08-14 18:44:24.847962
3,80b182d7-9bbc-4b3e-a680-543e05eabf7c,2,1,3,12,18,"Subject: gigantic organic-mechanical core pulsing like a living brain; Environment: interior chamber spanning thousands of kilometers; Architecture: metallic ribs, vascular conduits, crystalline processors and biomechanical tissue; Energy/Physics: synchronized electromagnetic pulses and luminous neural pathways; Cinematic Presentation: sweeping interior perspective, eerie alien beauty, cinematic blue-gold illumination, ultra-detailed 16:9.",8-Second 16:9 Video Prompt: Camera flies through the titan's internal neural cathedral. 0:01 glowing conduits pulse; 0:02 biomechanical membranes flex; 0:03 crystalline processors awaken sequentially; 0:04 energy races through neural pathways; 0:05 the central core contracts like a heartbeat; 0:06 a massive pulse illuminates the chamber.,16:9,8.0,ready,2026-08-14 18:44:24.847962
4,aff016f6-62c5-40e2-a92b-e909feaa6fed,2,1,4,18,24,"Subject: immense stabilization towers rising from the titan's surface; Environment: an entire planet beneath the machinery; Architecture: needle-like biomechanical towers connected by luminous orbital bridges; Energy/Physics: gravity-control beams anchoring tectonic plates and atmosphere; Cinematic Presentation: low-angle monumental shot, storm clouds, radiant beams, epic sci-fi realism, 16:9.",8-Second 16:9 Video Prompt: Camera ascends beside one stabilization tower from cloud level to orbit. 0:01 tower activates; 0:02 blue energy climbs its spine; 0:03 adjacent towers ignite; 0:04 beams connect across the planet; 0:05 atmospheric storms calm beneath the field; 0:06 the global stabilization network becomes visible.,16:9,8.0,ready,2026-08-14 18:44:24.848967
5,67aec885-1f28-4a6c-bcd4-58c8918d18c3,2,1,5,24,30,"Subject: continent-sized command lattice controlling agricultural ecosystems; Environment: planetary surface covered in rice fields; Architecture: luminous geometric networks spanning continents; Energy/Physics: orbital signals and energy pulses synchronizing harvest cycles; Cinematic Presentation: orbital view, glowing agricultural grid, cinematic atmospheric depth, 16:9.",8-Second 16:9 Video Prompt: Camera sweeps around the planet as the agricultural network activates. 0:01 first continent glows; 0:02 signal spreads across rice fields; 0:03 neighboring continents illuminate; 0:04 orbital nodes synchronize; 0:05 harvest zones pulse in sequence; 0:06 the entire planet becomes a coordinated agricultural system.,16:9,8.0,ready,2026-08-14 18:44:24.848967
6,023b9af9-7a12-4a65-85c3-b26442fc5e07,2,1,6,30,36,"Subject: gigantic wormhole intake portal built into the titan's side; Environment: interstellar void with a distant rice-growing planet aligned behind it; Architecture: concentric biomechanical rings surrounding a dimensional gateway; Energy/Physics: spiraling spacetime, blue-white wormhole energy and streams of grain; Cinematic Presentation: frontal cosmic shot, surreal scale, dramatic lens effects, 16:9.",8-Second 16:9 Video Prompt: Camera approaches the intake portal as spacetime twists around it. 0:01 rings rotate; 0:02 wormhole opens; 0:03 stars stretch into luminous trails; 0:04 harvested rice grains begin streaming through; 0:05 the grain stream becomes a colossal torrent; 0:06 the portal stabilizes at maximum intensity.,16:9,8.0,ready,2026-08-14 18:44:24.849970
7,5f575084-0d80-4f7b-af63-3d6b998b2e43,2,1,7,36,42,"Subject: endless tunnel carrying rice through folded dimensions; Environment: abstract hyperspace filled with floating rice grains; Architecture: biomechanical tunnel walls with rotating rings and organic machinery; Energy/Physics: warped spacetime currents guiding grain particles; Cinematic Presentation: high-speed forward perspective, luminous tunnel, cinematic motion depth, 16:9.",8-Second 16:9 Video Prompt: Camera races through the dimensional corridor alongside the grain stream. 0:01 rice grains accelerate; 0:02 tunnel rings pass overhead; 0:03 dimensional walls ripple; 0:04 streams merge into larger currents; 0:05 energy pulses propel the harvest; 0:06 the tunnel opens toward the titan's interior.,16:9,8.0,ready,2026-08-14 18:44:24.849970
8,40847d7c-6b24-434a-9541-e355af4f9274,2,1,8,42,48,"Subject: enormous alien harvesting mouth consuming fields of rice; Environment: endless rice plains beneath atmospheric clouds; Architecture: layered mechanical jaws, organic cutting teeth and conveyor membranes; Energy/Physics: controlled wind vortices and luminous field-sensing particles; Cinematic Presentation: low aerial perspective, colossal machinery, golden rice against dark metal, cinematic realism, 16:9.",8-Second 16:9 Video Prompt: Camera flies just above rice fields toward the gigantic intake mouth. 0:01 rice waves bend toward the machine; 0:02 harvesting teeth descend; 0:03 fields sweep inward; 0:04 golden grain becomes a flowing river; 0:05 conveyor membranes accelerate the harvest; 0:06 camera enters the intake.,16:9,8.0,ready,2026-08-14 18:44:24.849970
9,eadd11f2-456e-4bdb-8f83-9ec8dabf0f4c,2,1,9,48,54,"Subject: continent-length harvesting arm with articulated alien joints; Environment: planetary atmosphere above rice plains; Architecture: layered armor, rotating harvest blades, flexible organic-metal tendons; Energy/Physics: magnetic field stabilizers and glowing energy channels; Cinematic Presentation: dynamic tracking shot, immense scale, golden-hour atmosphere, 16:9.",8-Second 16:9 Video Prompt: Camera tracks alongside the harvesting limb as it sweeps across the landscape. 0:01 joints unfold; 0:02 blades rotate; 0:03 arm descends; 0:04 rice fields bend in synchronized waves; 0:05 the limb sweeps upward carrying enormous grain volumes; 0:06 it retracts toward the titan.,16:9,8.0,ready,2026-08-14 18:44:24.850970
10,efdb9ffd-de61-45aa-b87d-b20d10b0fd23,2,1,10,54,60,"Subject: titan controlling planetary weather around agricultural zones; Environment: massive rice-growing continent with storms and clouds; Architecture: atmospheric towers and hovering field regulators; Energy/Physics: ionized blue grids redirecting winds and rainfall; Cinematic Presentation: aerial cinematic panorama, storm-to-calm transition, spectacular volumetric clouds, 16:9.",8-Second 16:9 Video Prompt: Camera flies through a storm toward the titan's control grid. 0:01 lightning flashes; 0:02 atmospheric nodes activate; 0:03 wind spirals reorganize; 0:04 clouds separate over rice fields; 0:05 controlled rain descends; 0:06 sunlight breaks through over the stabilized harvest zone.,16:9,8.0,ready,2026-08-14 18:44:24.850970
