Idea_ID,Idea_Title,Idea_Topic,Idea_Status,SEO_Source,SEO_Title,SEO_Title_Length,SEO_Description,SEO_Description_Length,SEO_Tags,SEO_Tags_Length,SEO_Tag_Count,SEO_Pinned_Comment,SEO_Category,SEO_Metadata_Status,SEO_Run_ID,SEO_Provider,SEO_Mode,SEO_Demand_Score,SEO_Novelty_Score,SEO_Saturation_Score,SEO_Opportunity_Score,SEO_Verdict,SEO_Keyword_Count,SEO_Competitor_Count,SEO_Exact_Competitors,SEO_Close_Competitors,SEO_Strong_Competitors_Found,SEO_LLM_Used,SEO_Upload_Ready,SEO_Warnings,SEO_Run_At,SEO_Top_Keywords,SEO_Prompt_Sent,Video_Prompt_Used,Video_File_Path,Package_Folder_Path,SEO_Updated_At
1,Rice Titan Harvester,Paddy Harvesting,ready_for_upload,REAL_HARVEST,Rice Paddy Harvesting Machine: This Is Seriously Fast 🌾,55,"What happens when a Rice Titan Harvester takes on a paddy field? Watch this cinematic 8-second harvest transformation unfold at incredible speed.

00:00 Harvester enters the paddy field
00:03 Rice Titan starts harvesting
00:06 Rapid paddy harvesting action
00:08 Final cinematic shot

This AI-generated short showcases modern paddy harvesting machines in agriculture, inspired by real search interest around rice harvesting and processing. The Rice Titan Harvester is presented as a cinematic concept for viewers fascinated by agricultural machinery and rice farming.

Explore the world of paddy harvesting in China, paddy harvesting in Japan, paddy harvesters in Assam and Andhra Pradesh, plus traditional paddy harvesting by hand. Which harvesting method would you choose? #PaddyHarvesting #RiceHarvesting #Harvester #Agriculture #Farming",840,"[""rice paddy harvesting machine"", ""paddy harvesting machines in agriculture"", ""paddy harvesting machine in japan"", ""paddy harvesting in japan"", ""paddy harvesting in china"", ""rice harvesting and processing"", ""paddy harvester in assam"", ""paddy harvester in andhra pradesh"", ""paddy harvesting by hand"", ""rice harvesting by hand"", ""paddy harvesting"", ""rice harvesting"", ""rice harvester"", ""paddy harvester"", ""agriculture""]",417,15,Would you choose a machine harvester or harvesting by hand? 🌾,Science & Technology,ready,31,chatgpt,apply,70.32,100.0,0.0,89.61,publish,101,26,0,0,16,1,1,[],2026-09-04 12:07:17.039283,rice paddy harvesting machine | paddy harvesting in china | paddy harvesting in japan | rice harvesting and processing | harvesting rice at home | paddy harvester in assam | paddy harvesting by hand | rice harvesting by hand | paddy harvesting machines in agriculture | paddy harvesting machine in japan | paddy harvester in andhra pradesh | paddy harvesting by brush cutter | paddy harvesting in west bengal | paddy harvesting machine in india | paddy harvesting machine in manipur,"Viral YouTube Growth & SEO Strategist
Generate viral, curiosity-driven YouTube Title (<80 chars + 1 emoji), 3-paragraph SEO description with timestamps and 5 hashtags, and 10-15 search tags in JSON.
1. High-CTR title with emoji. 2. 3-paragraph description with timestamps. 3. 5 viral hashtags. 4. Strict JSON format.

=== REAL DATA (already collected — do NOT invent numbers, use these) ===
VIDEO SUBJECT : Rice Titan Harvester
TOPIC/ELEMENT : Paddy Harvesting
FORMAT        : 8-second vertical (9:16) AI-generated cinematic short

MEASURED SEO SIGNALS (computed from YouTube autocomplete + live search results):
  demand score      : 70/100
  novelty score     : 100/100
  saturation score  : 0/100  (higher = more crowded)
  opportunity score : 90/100 -> verdict: publish
  competitor mix    : 0 exact, 0 close, 4 substitute

REAL KEYWORDS people actually search (from YouTube autocomplete):
  - rice paddy harvesting machine
  - paddy harvesting in china
  - paddy harvesting in japan
  - rice harvesting and processing
  - harvesting rice at home
  - paddy harvester in assam
  - paddy harvesting by hand
  - rice harvesting by hand
  - paddy harvesting machines in agriculture
  - paddy harvesting machine in japan
  - paddy harvester in andhra pradesh
  - paddy harvesting by brush cutter

REAL COMPETING VIDEOS currently ranking:
  - [SUBSTITUTE] Bangladeshi Farmers Harvesting Paddy 🌾 |Modern Rice Farming with Harvester (205 views, Stay with Maruf)
  - [SUBSTITUTE] DO-IT – Farmer harvesting organic Basmati rice in India (38,854 views, DO IT Organic)
  - [SUBSTITUTE] How to Draw a Combine Harvester (7,937 views, Mark Easy Drawings )
  - [SUBSTITUTE] How to draw HARVESTER / drawing Combine Harvester step by step (2,159 views, 17 Easy Drawing)

=== YOUR TASK ===
Produce an upload-ready YouTube SEO package that BEATS the competitors above by
differentiating on angle, and that naturally uses the real keywords above.

HARD CONSTRAINTS (a violation makes the upload fail):
  - ""title"": <= 70 characters strongly preferred, 100 absolute max.
    High-CTR, curiosity-driven, front-load the strongest real keyword. Max 1 emoji.
  - ""seo_description"": 3 paragraphs. Paragraph 1 hooks in the first 120 characters
    (that is all YouTube shows before ""more""). Include a timestamp block for an
    8-second video and end with exactly 5 hashtags.
  - ""tags"": 15 or fewer, each under 60 chars,
    combined length under 460 characters.
    Order them most-specific -> most-generic. Prefer the REAL keywords above.
  - ""hook"": one spoken/on-screen opening line, under 90 characters.
  - ""pinned_comment"": short engaging pinned comment / discussion question for viewers (under 120 characters) to drive maximum comments & engagement.
  - ""thumbnail_prompt"": a concrete image-generation prompt for a scroll-stopping thumbnail.
  - ""target_keyword"": the single best keyword to rank for, chosen from the real list.

Return ONLY this raw JSON object, no markdown fence, no commentary:
{
  ""title"": ""..."",
  ""seo_description"": ""..."",
  ""tags"": [""..."", ""...""],
  ""hashtags"": [""#..."", ""#..."", ""#..."", ""#..."", ""#...""],
  ""hook"": ""..."",
  ""pinned_comment"": ""..."",
  ""thumbnail_prompt"": ""..."",
  ""target_keyword"": ""..."",
  ""category"": ""Science & Technology"",
  ""default_language"": ""en""
}","Use IMAGE 10 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: AWAKEN THE TITAN"" — The alien agricultural intelligence activates, illuminating countless sensor halos and planetary-scale harvesting systems.

Second 2 [0:01-0:02] — HUD Popup Text: ""STEP 2: HARVEST REALITY"" — Innumerable colossal arms reach through folded space and gather rice from multiple worlds simultaneously.

Second 3 [0:02-0:03] — HUD Popup Text: ""STEP 3: TRANSDIMENSIONAL THRESH"" — Entire crop streams enter wormholes and emerge inside the titan's impossible belly factory.

Second 4 [0:03-0:04] — HUD Popup Text: ""STEP 4: QUANTUM PURIFICATION"" — Individual grains float through miniature artificial suns, gravitational separators, magnetic fields, and alien drying reactors.

Second 5 [0:04-0:05] — HUD Popup Text: ""STEP 5: STORE THE HARVEST UNIVERSE"" — Finished grains cascade into an infinite-dimensional storage chamber containing vast glowing reserves of rice.

Seconds 6-8 [0:05-0:08]: HUD text completely fades; the camera performs a continuous impossible-scale descent from the cosmic titan into its belly, through alien processing architecture, and finally reaches a maximum close-up of a single rice grain suspended beside a colossal quantum mechanism, with the surrounding machinery stabilizing into a mesmerizing continuous harvesting rhythm, no cuts, no scene transition, exactly 8 seconds.",C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.1.Level_10_Rice_Titan_Harvester\1.1.Level_10_Rice_Titan_Harvester.mp4,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.1.Level_10_Rice_Titan_Harvester,2026-09-04 12:07:17.173692
2,The Paddy Ocean Vacuum,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rice-Field Spider Colossus,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The Monsoon Harvesting Ark,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Paddy Ring Megaharvester,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sky Reaper Rice Fortress,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,The Rice Comb Superstructure,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Paddy-Gulping Harvest Worm,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rice Moon Harvester,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The Infinite Rice Factory,Paddy Harvesting,new,NO_METADATA_ROW,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
